,Twitter Handle,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Tweet Datetime,Tweet Text
0,@BBC,0.4939,0.154,0.846,0.0,1,2018-10-03 19:04:04+00:00,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than ever...

#TheApprentice | 9pm | @BBCOne | https://t.co/erXOkFahKq https://t.co/6NLV2jbG16"
1,@BBC,0.0,0.0,1.0,0.0,2,2018-10-03 17:59:01+00:00,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to
2,@BBC,0.0,0.0,1.0,0.0,3,2018-10-03 17:03:42+00:00,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…
3,@BBC,0.4404,0.139,0.861,0.0,4,2018-10-03 16:55:01+00:00,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur
4,@BBC,0.0,0.0,1.0,0.0,5,2018-10-03 15:58:03+00:00,🍜 The humble origins of an incredibly versatile food – the potted history of instant noodles. https://t.co/3RMBZ33zFY
5,@BBC,0.0,0.0,1.0,0.0,6,2018-10-03 13:04:03+00:00,"🌙 'Leonardo da Vinci was the first recorded person to realise what a crescent moon was.'

Nine out of this world facts about the Moon. 
👉 https://t.co/aK55Yyf4xd https://t.co/4g4SNxD6S7"
6,@BBC,0.0343,0.166,0.675,0.159,7,2018-10-03 11:57:04+00:00,"That time @RyanGosling was training to be an astronaut and DEFINITELY WASN'T (was) sick. 
#TheGNShow https://t.co/mf8dnizxAV"
7,@BBC,0.2732,0.1,0.9,0.0,8,2018-10-03 11:01:02+00:00,"🕺🎙 'Tom Daley was an Elvis impersonator - with his dad'

10 surprising things we learned from @TomDaley1994’s #DesertIslandDiscs. 
👉 https://t.co/dmJ6lLzn0u https://t.co/76pkpzrT54"
8,@BBC,-0.5574,0.0,0.753,0.247,9,2018-10-03 08:02:04+00:00,"19-year-old rapper Kitch has a stutter when he speaks - but when he performs, it usually disappears. https://t.co/tVXhIeAwEg"
9,@BBC,0.0,0.0,1.0,0.0,10,2018-10-03 08:01:24+00:00,"RT @BBCRadio2: 🥁Drumroll please!🥁

Our brand new Breakfast Show host is @ZoeTheBall! 👏

https://t.co/th597DBxQI https://t.co/dbfQgMsuHO"
10,@BBC,-0.6124,0.0,0.833,0.167,11,2018-10-03 07:04:08+00:00,"🐧 A zoo has been forced to fill its new penguin exhibit with models, as a shortage of birds means it is unable to get the real thing.
👉 https://t.co/2FqQAOFxxF https://t.co/Cr76yp1RcY"
11,@BBC,0.0,0.0,1.0,0.0,12,2018-10-03 06:08:02+00:00,"""Oh, I'm so sorry,"" and other things not to say to amputees. 
(via @BBCThree) https://t.co/L8eiOleNyi"
12,@BBC,-0.3626,0.0,0.935,0.065,13,2018-10-02 19:02:07+00:00,"Discover the extraordinary story of how a small Scottish bank grew to briefly become the biggest in the world, before triggering the largest financial bail-out in British history.

The Bank That Almost Broke Britain | 9pm | @BBCTwo | https://t.co/cvsvWGnq3s https://t.co/JWQwk4llZW"
13,@BBC,-0.802,0.0,0.573,0.427,14,2018-10-02 17:55:03+00:00,Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m
14,@BBC,0.4019,0.197,0.803,0.0,15,2018-10-02 17:06:06+00:00,"The gender reveal party that sparked a massive 47,000 acre wildfire. 
👉 https://t.co/b0Xc17AuK5 https://t.co/ROh8TOMH7K"
15,@BBC,0.5574,0.184,0.816,0.0,16,2018-10-02 16:06:02+00:00,"In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN"
16,@BBC,-0.2732,0.179,0.608,0.213,17,2018-10-02 14:06:04+00:00,"Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for physiology or medicine.
👉https://t.co/CxZXLkwRZL https://t.co/VytZDhBdSU"
17,@BBC,0.5994,0.159,0.841,0.0,18,2018-10-02 13:05:03+00:00,"🍲😋 A bowl of warm, hearty stew is always a welcome sight on a cold day.

From a classic beef stew to a vegetarian hotpot, @BBCFood have a recipe for every occasion.
👉 https://t.co/OZZaDGwAHH https://t.co/GVCnpybK0Z"
18,@BBC,0.0,0.0,1.0,0.0,19,2018-10-02 12:05:04+00:00,"Jodie Whittaker. New Doctor...and a 'Shat Lass'.
#TheGNShow #DoctorWho https://t.co/25HwEbjAfn"
19,@BBC,0.5719,0.171,0.829,0.0,20,2018-10-02 10:47:27+00:00,"Donna Strickland has become the first woman to have won the #NobelPrize in Physics in 55 years. 
👉 https://t.co/WLmSEOlFKx https://t.co/r6OZUynPDA"
20,@BBC,0.0,0.0,1.0,0.0,21,2018-10-02 10:27:17+00:00,"RT @BBCSport: SPOTY is back - and there are some big changes.

The BBC Sports Personality of the Year 2018 contenders will be revealed on t…"
21,@BBC,0.6696,0.272,0.728,0.0,22,2018-10-02 10:16:58+00:00,"❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS"
